timestamp,response_time,http_code,result,payload_type,is_allowed,blocking_findings,non_blocking_findings,user_id
1741554232529,99.9138355255127,200,ALLOWED,dummy,True,0,2,41
1741554231599,1039.5140647888184,200,BLOCKED,real,False,1,1,87
1741554227124,5525.79402923584,200,BLOCKED,real,False,1,1,2
1741554232580,80.61981201171875,200,ALLOWED,clean,True,0,0,35
1741554229912,2759.9270343780518,200,BLOCKED,real,False,1,1,44
1741554232633,42.140960693359375,200,ALLOWED,dummy,True,0,2,10
1741554232596,80.17206192016602,200,ALLOWED,dummy,True,0,2,20
1741554229221,3461.987018585205,200,BLOCKED,real,False,1,1,26
1741554231229,1477.7641296386719,200,BLOCKED,real,False,1,1,75
1741554232665,76.78914070129395,200,ALLOWED,dummy,True,0,2,71
1741554230655,2095.301866531372,200,BLOCKED,real,False,1,1,54
1741554232679,73.455810546875,200,ALLOWED,dummy,True,0,2,41
1741554232677,84.51485633850098,200,ALLOWED,clean,True,0,0,95
1741554224446,8335.685729980469,200,BLOCKED,real,False,1,1,67
1741554230212,2630.579948425293,200,BLOCKED,real,False,1,1,21
1741554232726,121.44875526428223,200,ALLOWED,dummy,True,0,2,10
1741554232757,97.31578826904297,200,ALLOWED,clean,True,0,0,75
1741554232723,135.56408882141113,200,ALLOWED,clean,True,0,0,44
1741554229627,3233.6878776550293,200,BLOCKED,real,False,1,1,7
1741554232734,136.8582248687744,200,ALLOWED,dummy,True,0,2,26
1741554230018,2864.449977874756,200,BLOCKED,real,False,1,1,61
1741554232792,95.91817855834961,200,ALLOWED,clean,True,0,0,71
1741554232803,89.19596672058105,200,ALLOWED,dummy,True,0,2,41
1741554232812,84.25211906433105,200,ALLOWED,clean,True,0,0,95
1741554230699,2199.0911960601807,200,BLOCKED,real,False,1,1,70
1741554229023,3881.3998699188232,200,BLOCKED,real,False,1,1,53
1741554230918,2016.5398120880127,200,BLOCKED,real,False,1,1,23
1741554232893,67.31796264648438,200,ALLOWED,clean,True,0,0,21
1741554231213,1759.944200515747,200,BLOCKED,real,False,1,1,19
1741554232904,90.71707725524902,200,ALLOWED,clean,True,0,0,75
1741554227141,5863.442897796631,200,BLOCKED,real,False,1,1,24
1741554232151,892.51708984375,200,BLOCKED,real,False,1,1,66
1741554232947,102.77605056762695,200,ALLOWED,dummy,True,0,2,95
1741554232261,813.3900165557861,200,BLOCKED,real,False,1,1,39
1741554232948,126.52993202209473,200,ALLOWED,clean,True,0,0,70
1741554232942,134.69505310058594,200,ALLOWED,clean,True,0,0,41
1741554232985,94.86699104309082,200,ALLOWED,dummy,True,0,2,23
1741554228000,5096.17805480957,200,BLOCKED,real,False,1,1,77
1741554232575,560.7950687408447,200,BLOCKED,real,False,1,1,5
1741554233024,128.21102142333984,200,ALLOWED,dummy,True,0,2,19
1741554228200,4959.6569538116455,200,BLOCKED,real,False,1,1,42
1741554231264,1935.1410865783691,200,BLOCKED,real,False,1,1,73
1741554233125,81.59017562866211,200,ALLOWED,dummy,True,0,2,70
1741554228953,4262.490034103394,200,BLOCKED,real,False,1,1,98
1741554230234,2997.4100589752197,200,BLOCKED,real,False,1,1,84
1741554229692,3553.9710521698,200,BLOCKED,real,False,1,1,68
1741554231779,1475.818157196045,200,BLOCKED,real,False,1,1,25
1741554230187,3080.92999458313,200,BLOCKED,real,False,1,1,15
1741554233202,82.83591270446777,200,ALLOWED,clean,True,0,0,19
1741554224705,8580.56092262268,200,BLOCKED,real,False,1,1,46
1741554232226,1091.775894165039,200,BLOCKED,real,False,1,1,63
1741554233257,68.695068359375,200,ALLOWED,dummy,True,0,2,70
1741554233250,78.53198051452637,200,ALLOWED,dummy,True,0,2,73
1741554233266,66.94889068603516,200,ALLOWED,clean,True,0,0,98
1741554231731,1614.5141124725342,200,BLOCKED,real,False,1,1,92
1741554233282,86.13467216491699,200,ALLOWED,dummy,True,0,2,84
1741554232337,1039.773941040039,200,BLOCKED,real,False,1,1,36
1741554233305,79.99610900878906,200,ALLOWED,dummy,True,0,2,25
1741554230930,2464.4858837127686,200,BLOCKED,real,False,1,1,38
1741554233318,77.86798477172852,200,ALLOWED,dummy,True,0,2,15
1741554230524,2904.5701026916504,200,BLOCKED,real,False,1,1,14
1741554233368,68.74704360961914,200,ALLOWED,dummy,True,0,2,63
1741554233335,104.50077056884766,200,ALLOWED,dummy,True,0,2,19
1741554233383,78.6890983581543,200,ALLOWED,clean,True,0,0,98
1741554228418,5053.196907043457,200,BLOCKED,real,False,1,1,80
1741554232726,760.0319385528564,200,BLOCKED,real,False,1,1,20
1741554233379,111.38510704040527,200,ALLOWED,clean,True,0,0,73
1741554233376,133.73899459838867,200,ALLOWED,dummy,True,0,2,70
1741554233427,86.97795867919922,200,ALLOWED,dummy,True,0,2,36
1741554233436,87.85629272460938,200,ALLOWED,dummy,True,0,2,25
1741554226627,6897.351980209351,200,BLOCKED,real,False,1,1,79
1741554232488,1067.1701431274414,200,BLOCKED,real,False,1,1,83
1741554233445,138.92364501953125,200,ALLOWED,dummy,True,0,2,38
1741554233512,87.70895004272461,200,ALLOWED,clean,True,0,0,98
1741554233479,122.01523780822754,200,ALLOWED,dummy,True,0,2,14
1741554231276,2330.42311668396,200,BLOCKED,real,False,1,1,12
1741554233490,127.33912467956543,200,ALLOWED,clean,True,0,0,19
1741554230844,2785.374164581299,200,BLOCKED,real,False,1,1,58
1741554226163,7495.995998382568,200,BLOCKED,real,False,1,1,57
1741554233540,123.7637996673584,200,ALLOWED,clean,True,0,0,73
1741554233537,134.67788696289062,200,ALLOWED,clean,True,0,0,20
1741554233565,111.74511909484863,200,ALLOWED,dummy,True,0,2,36
1741554233561,116.67203903198242,200,ALLOWED,dummy,True,0,2,70
1741554230941,2747.836112976074,200,BLOCKED,real,False,1,1,96
1741554229945,3778.926134109497,200,BLOCKED,real,False,1,1,86
1741554233668,76.33399963378906,200,ALLOWED,clean,True,0,0,19
1741554233635,112.74886131286621,200,ALLOWED,clean,True,0,0,38
1741554232832,921.3151931762695,200,BLOCKED,real,False,1,1,67
1741554233650,105.99470138549805,200,ALLOWED,clean,True,0,0,98
1741554233657,100.54397583007812,200,ALLOWED,clean,True,0,0,12
1741554232015,1758.7990760803223,200,BLOCKED,real,False,1,1,89
1741554233680,106.92882537841797,200,ALLOWED,clean,True,0,0,58
1741554233130,664.6220684051514,200,BLOCKED,real,False,1,1,23
1741554233727,118.30878257751465,200,ALLOWED,clean,True,0,0,70
1741554233739,125.24580955505371,200,ALLOWED,dummy,True,0,2,96
1741554233714,150.83599090576172,200,ALLOWED,dummy,True,0,2,73
1741554230505,3370.1870441436768,200,BLOCKED,real,False,1,1,81
1741554229289,4611.604928970337,200,BLOCKED,real,False,1,1,37
1741554233798,130.23710250854492,200,ALLOWED,dummy,True,0,2,38
1741554233774,163.13910484313965,200,ALLOWED,dummy,True,0,2,86
1741554233807,148.90003204345703,200,ALLOWED,clean,True,0,0,98
1741554233804,167.5100326538086,200,ALLOWED,dummy,True,0,2,67
1741554232078,1904.2408466339111,200,BLOCKED,real,False,1,1,4
1741554233837,151.10087394714355,200,ALLOWED,clean,True,0,0,58
1741554228895,5100.884914398193,200,BLOCKED,real,False,1,1,74
1741554232955,1067.823886871338,200,BLOCKED,real,False,1,1,53
1741554233915,146.56925201416016,200,ALLOWED,dummy,True,0,2,96
1741554233979,92.39506721496582,200,ALLOWED,clean,True,0,0,38
1741554232938,1137.9399299621582,200,BLOCKED,real,False,1,1,71
1741554234006,120.0108528137207,200,ALLOWED,dummy,True,0,2,98
1741554232700,1427.2902011871338,200,BLOCKED,real,False,1,1,2
1741554234022,130.31578063964844,200,ALLOWED,clean,True,0,0,67
1741554233418,754.3721199035645,200,BLOCKED,real,False,1,1,84
1741554234073,115.54598808288574,200,ALLOWED,dummy,True,0,2,53
1741554227665,6533.1151485443115,200,BLOCKED,real,False,1,1,69
1741554234122,82.55195617675781,200,ALLOWED,dummy,True,0,2,38
1741554232096,2123.5179901123047,200,BLOCKED,real,False,1,1,29
1741554228883,5347.264051437378,200,BLOCKED,real,False,1,1,88
1741554234178,54.69083786010742,200,ALLOWED,clean,True,0,0,2
1741554234203,38.986921310424805,200,ALLOWED,clean,True,0,0,67
1741554233951,297.2378730773926,200,BLOCKED,real,False,1,1,37
1741554231702,2557.7738285064697,200,BLOCKED,real,False,1,1,82
1741554232910,1379.594087600708,200,BLOCKED,real,False,1,1,7
1741554234239,66.89929962158203,200,ALLOWED,clean,True,0,0,53
1741554234248,73.93574714660645,200,ALLOWED,dummy,True,0,2,69
1741554230894,3434.373140335083,200,BLOCKED,real,False,1,1,30
1741554234254,104.45475578308105,200,ALLOWED,dummy,True,0,2,38
1741554234292,76.15280151367188,200,ALLOWED,clean,True,0,0,67
1741554234298,71.03800773620605,200,ALLOWED,clean,True,0,0,37
1741554229435,4944.342851638794,200,BLOCKED,real,False,1,1,51
1741554234310,85.65115928649902,200,ALLOWED,dummy,True,0,2,82
1741554231700,2702.2058963775635,200,BLOCKED,real,False,1,1,50
1741554234356,54.267168045043945,200,ALLOWED,dummy,True,0,2,53
1741554234340,87.15224266052246,200,ALLOWED,clean,True,0,0,7
1741554229422,5009.57179069519,200,BLOCKED,real,False,1,1,6
1741554233521,928.5171031951904,200,BLOCKED,real,False,1,1,80
1741554230493,3998.729944229126,200,BLOCKED,real,False,1,1,33
1741554234420,86.20691299438477,200,ALLOWED,dummy,True,0,2,37
1741554234409,103.0428409576416,200,ALLOWED,dummy,True,0,2,38
1741554234452,67.80600547790527,200,ALLOWED,dummy,True,0,2,50
1741554234446,74.78785514831543,200,ALLOWED,clean,True,0,0,82
1741554234430,94.21205520629883,200,ALLOWED,dummy,True,0,2,51
1741554231135,3402.3690223693848,200,BLOCKED,real,False,1,1,11
